"Term ID","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count
38299,"Tableaux décoratifs et impressions artistiques  ",tableaux-decoratifs-et-impressions-artistiques,,,,,
38300,"Décoration murale",decoration-murale,,,,,
38301,"adhésifs design et fresques personnalisées",adhesifs-design-et-fresques-personnalisees,,,,,
38302,"Décoration d’intérieur et design mural ",decoration-dinterieur-et-design-mural,,,,,
38303,"Décorations festives",decorations-festives,,,,,
38304,"déguisements et accessoires événementiels",deguisements-et-accessoires-evenementiels,,,,,
38305,"Décoration maison et accessoires créatifs",decoration-maison-et-accessoires-creatifs,,,,,
38306,"Décoration écoresponsable et aménagement intérieur durable",decoration-ecoresponsable-et-amenagement-interieur-durable,,,,,
38307,"Tableaux contemporains et affiches décoratives",tableaux-contemporains-et-affiches-decoratives,,,,,
38308,"Supermarché en ligne multiculturel et livraison express à Paris",supermarche-en-ligne-multiculturel-et-livraison-express-a-paris,,,,,
38312,"Tailleur de pierre ferronnerie d art et sculpture décorative",tailleur-de-pierre-ferronnerie-d-art-et-sculpture-decorative,,,,,
38313,"Décoration lumineuse et ambiance murale personnalisée",decoration-lumineuse-et-ambiance-murale-personnalisee,,,,,
38314,"Agence de design",agence-de-design,,,,,
38316,"Posters et tableaux inspirés du jeu vidéo ",posters-et-tableaux-inspires-du-jeu-video,,,,,
38317,"Commerce de détail d'habillement en magasin spécialisé",commerce-de-detail-dhabillement-en-magasin-specialise,,,,,
38318,Paris,paris-agence-de-design,,38314,"Agence de design",agence-de-design,
38319,Carrelages,carrelages,,,,,
38320,"sanitaires et décoration intérieure",sanitaires-et-decoration-interieure,,,,,
38321,"Vente en ligne de produits divers",vente-en-ligne-de-produits-divers,,,,,
38322,"Rénovation et l’amélioration de l’habitat",renovation-et-lamelioration-de-lhabitat,,,,,
38324,"Décoration et arts de la table ",decoration-et-arts-de-la-table,,,,,
38325,"Pension pour chiens",pension-pour-chiens,,,,,
38327,"Vente en ligne de produits variés",vente-en-ligne-de-produits-varies,,,,,
38328,"Tailleur de pierre serrurerie et vitrerie sur mesure",tailleur-de-pierre-serrurerie-et-vitrerie-sur-mesure,,,,,
38329,"Bijoux modernes et raffinés",bijoux-modernes-et-raffines,,,,,
38330,"Décoration et accessoires lifestyle éclectiques",decoration-et-accessoires-lifestyle-eclectiques,,,,,
38331,"Rénovation intérieure et amélioration de l’habitat",renovation-interieure-et-amelioration-de-lhabitat,,,,,
38332,"Bijoux tendances et accessibles",bijoux-tendances-et-accessibles,,,,,
38334,"Tailleur de pierre design sportif et objets sculptés sur mesure",tailleur-de-pierre-design-sportif-et-objets-sculptes-sur-mesure,,,,,
38336,"Beaux-arts et décoration murale",beaux-arts-et-decoration-murale,,,,,
38337,"Vente en ligne d’articles de coiffure et accessoires professionnels",vente-en-ligne-darticles-de-coiffure-et-accessoires-professionnels,,,,,
38338,"Tailleur de pierre art contemporain et design culturel",tailleur-de-pierre-art-contemporain-et-design-culturel,,,,,
38339,"Travaux de rénovation pour particuliers et professionnels",travaux-de-renovation-pour-particuliers-et-professionnels,,,,,
38340,"Tailleur de pierre sculpture décorative et design architectural",tailleur-de-pierre-sculpture-decorative-et-design-architectural,,,,,
38341,"Vente en ligne de bijoux et accessoires de mode",vente-en-ligne-de-bijoux-et-accessoires-de-mode,,,,,
38342,"Vente de sneakers et streetwear en ligne",vente-de-sneakers-et-streetwear-en-ligne,,,,,
38344,"Bijoux et accessoires contemporains",bijoux-et-accessoires-contemporains,,,,,
38345,"Transport privé transferts aéroport et VTC en Île-de-France",transport-prive-transferts-aeroport-et-vtc-en-ile-de-france,,,,,
38346,"Travaux de rénovation et d’aménagement",travaux-de-renovation-et-damenagement,,,,,
38347,"Kits de pâtisserie créative",kits-de-patisserie-creative,,,,,
38348,"Vente en ligne de produits naturels et cosmétiques bio",vente-en-ligne-de-produits-naturels-et-cosmetiques-bio,,,,,
38349,Joaillerie,joaillerie,,,,,
38350,"Vente en ligne d’articles de bien-être et accessoires lifestyle",vente-en-ligne-darticles-de-bien-etre-et-accessoires-lifestyle,,,,,
38351,"Vente en ligne d’articles de bijouterie et accessoires",vente-en-ligne-darticles-de-bijouterie-et-accessoires,,,,,
38352,"Nutrition sportive et compléments alimentaires",nutrition-sportive-et-complements-alimentaires,,,,,
38353,"Travaux de rénovation et de construction pour les particuliers et professionnels",travaux-de-renovation-et-de-construction-pour-les-particuliers-et-professionnels,,,,,
38355,"Maroquinerie éco-luxe et vegan",maroquinerie-eco-luxe-et-vegan,,,,,
38356,"Vente en ligne de produits artisanaux et de décoration",vente-en-ligne-de-produits-artisanaux-et-de-decoration,,,,,
38357,"Vente en ligne de produits liés au bien-être",vente-en-ligne-de-produits-lies-au-bien-etre,,,,,
38358,"Services de rénovation et de protection des bâtiments",services-de-renovation-et-de-protection-des-batiments,,,,,
38359,"Création artisanale de sacs et accessoires textiles",creation-artisanale-de-sacs-et-accessoires-textiles,,,,,
38360,"Créations artisanales et produits orientés vers décoration et les accessoires",creations-artisanales-et-produits-orientes-vers-decoration-et-les-accessoires,,,,,
38361,"Services de réparation informatique",services-de-reparation-informatique,,,,,
38362,"Vente en ligne d’articles artisanaux et de produits gourmands",vente-en-ligne-darticles-artisanaux-et-de-produits-gourmands,,,,,
38363,"Travaux de rénovation et d’amélioration énergétique",travaux-de-renovation-et-damelioration-energetique,,,,,
38364,"massage bien-être et conseils",massage-bien-etre-et-conseils,,2639,"Massages bien-être domicile",massages-bien-etre-domicile,
38365,"Services de rénovation et d’amélioration de l’habitat",services-de-renovation-et-damelioration-de-lhabitat,,,,,
38366,"Création de bougies artisanales d’accessoires bien-être",creation-de-bougies-artisanales-daccessoires-bien-etre,,,,,
38367,"Vente et installation de solutions industrielles et professionnelles",vente-et-installation-de-solutions-industrielles-et-professionnelles,,,,,
38368,"Prestations de rénovation axées sur l’amélioration du vitrage, isolation et protection des habitations",prestations-de-renovation-axees-sur-lamelioration-du-vitrage-isolation-et-protection-des-habitations,,,,,
38369,Accessoires-piscine,accessoires-piscine,,,,,
38370,"Services d’aménagement paysager",services-damenagement-paysager-2,,,,,
38371,"Rénovation et les travaux d’aménagement",renovation-et-les-travaux-damenagement,,,,,
38372,"Services immobiliers",services-immobiliers,,,,,
38373,"Aménagement végétal",amenagement-vegetal,,,,,
38374,"Commerce horticole",commerce-horticole,,,,,
38375,"Vente, l’installation et l’entretien d’équipements de piscine",vente-linstallation-et-lentretien-dequipements-de-piscine,,,,,
